from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
94,94,,,245998224599934+368133+0,245998224599934+369258+0,1,
94,94,,,245998224599924+368154+0,245998224599934+369259+0,1,
94,94,,,245998324600004+368187+0,245998224599934+369281+0,1,
140,140,,,245998224599864+366521+0,245998224599934+369436+0,1,
140,140,,,245998924599934+366522+0,245998224599934+369436+0,1,
140,140,,,245998224599854+366580+1,245998224599934+369437+0,1,
140,140,,,245998224599864+366401+1,245998224599934+369437+0,1,
140,140,,,245998924599924+366582+1,245998224599934+369437+0,1,
140,140,,,245998924599934+366402+1,245998224599934+369437+0,1,
140,140,,,245998224599935+366359+0,245998224599935+366854+0,1,
140,140,,,245998224599865+366442+1,245998224599935+366855+0,1,
140,140,,,245998924599935+366443+1,245998224599935+366855+0,1,
140,140,,,245998224599865+366463+0,245998224599935+366859+0,1,
140,140,,,245998924599935+366464+0,245998224599935+366859+0,1,
140,140,,,245998224599865+366475+0,245998224599935+366860+0,1,
140,140,,,245998924599935+366476+0,245998224599935+366860+0,1,
140,140,,,245998224599865+366489+0,245998224599935+366864+0,1,
140,140,,,245998924599935+366490+0,245998224599935+366864+0,1,
140,140,,,245997924599865+366513+0,245998224599935+366868+0,1,
140,140,,,245999324600005+366515+0,245998224599935+366868+0,1,
140,140,,,245997924599865+366533+1,245998224599935+366869+0,1,
140,140,,,245998924599935+366535+1,245998224599935+366869+0,1,
140,140,,,245998224599865+366570+1,245998224599935+366873+0,1,
140,140,,,245998924599935+366571+1,245998224599935+366873+0,1,
140,140,,,245998224599865+366624+1,245998224599935+366884+0,1,
140,140,,,245998924599935+366625+1,245998224599935+366884+0,1,
140,140,,,245997924599865+366678+0,245998224599935+366891+0,1,
140,140,,,245999324600005+366680+0,245998224599935+366891+0,1,
76,76,,,245998224599935+367412+1,245998224599935+367038+1,1,
74,74,,,245998224599935+367416+1,245998224599935+367039+1,1,
74,74,,,245998224599935+367115+1,245998224599935+367048+1,1,
76,76,,,245998224599935+367420+1,245998224599935+367048+1,1,
74,74,,,245998224599935+367430+1,245998224599935+367050+1,1,
74,74,,,245998224599935+368902+1,245998224599935+367050+1,1,
62,62,,,245997924600005+367438+1,245998224599935+367051+1,1,
62,62,,,245998224599935+367199+1,245998224599935+367051+1,1,
74,74,,,245998224599935+367447+1,245998224599935+367053+1,1,
68,68,,,245998224599935+367220+1,245998224599935+367055+1,1,
68,68,,,245998224599935+367240+1,245998224599935+367056+0,1,
76,76,,,245998224599935+367402+0,245998224599935+367094+0,1,
76,76,,,245998224599935+368016+0,245998224599935+367098+0,1,
62,62,,,245997924600005+367096+1,245998224599935+367102+1,1,
20,20,,,245998224599935+367107+1,245998224599935+367109+1,1,
18,18,,,245998224599935+368258+1,245998224599935+367110+1,1,
94,94,,,245998224599935+367140+1,245998224599935+367115+1,1,
74,74,,,245998224599935+367269+1,245998224599935+367121+1,1,
74,74,,,245997924600005+367086+1,245998224599935+367127+1,1,
33,33,,,245998224599935+368410+0,245998224599935+367132+0,1,
94,94,,,245998224599935+367121+1,245998224599935+367142+0,1,
94,94,,,245998224599935+367127+1,245998224599935+367143+0,1,
76,76,,,245998224599935+367408+0,245998224599935+367154+1,1,
76,76,,,245998224599935+367420+1,245998224599935+367165+1,1,
74,74,,,245998224599935+367456+1,245998224599935+367220+1,1,
76,76,,,245998224599935+367582+1,245998224599935+367240+1,1,
76,76,,,245998224599935+367702+0,245998224599935+367254+0,1,
76,76,,,245998224599935+367708+0,245998224599935+367259+0,1,
76,76,,,245998224599935+367720+0,245998224599935+367265+0,1,
76,76,,,245998224599935+367727+0,245998224599935+367272+0,1,
76,76,,,245998224599935+367781+0,245998224599935+367279+0,1,
76,76,,,245998224599935+367939+0,245998224599935+367287+0,1,
76,76,,,245997924600005+368001+0,245998224599935+367296+0,1,
76,76,,,245998224599935+368006+0,245998224599935+367300+0,1,
76,76,,,245997924600005+368010+0,245998224599935+367304+0,1,
76,76,,,245998224599935+368044+0,245998224599935+367323+0,1,
76,76,,,245998224599935+368068+0,245998224599935+367334+0,1,
76,76,,,245997924600005+368091+0,245998224599935+367343+0,1,
76,76,,,245998224599935+368112+0,245998224599935+367347+0,1,
76,76,,,245998224599935+368121+0,245998224599935+367357+0,1,
76,76,,,245997924600005+368140+0,245998224599935+367368+0,1,
76,76,,,245997924600005+368191+0,245998224599935+367391+0,1,
76,76,,,245998224599935+367152+0,245998224599935+367405+1,1,
76,76,,,245998224599935+367157+1,245998224599935+367410+1,1,
76,76,,,245998224599935+367161+1,245998224599935+367414+1,1,
76,76,,,245998224599935+367041+1,245998224599935+367418+1,1,
76,76,,,245998224599935+367169+1,245998224599935+367427+1,1,
76,76,,,245998224599935+367179+1,245998224599935+367428+1,1,
76,76,,,245998224599935+367184+1,245998224599935+367432+0,1,
76,76,,,245998224599935+367192+0,245998224599935+367435+0,1,
76,76,,,245998224599935+367206+0,245998224599935+367444+0,1,
76,76,,,245998224599935+367213+0,245998224599935+367450+0,1,
76,76,,,245998224599935+367225+0,245998224599935+367454+0,1,
76,76,,,245998224599935+367234+0,245998224599935+367547+0,1,
94,94,,,245998224599935+368937+1,245998224599935+367582+1,1,
76,76,,,245998224599935+367250+0,245998224599935+367684+0,1,
76,76,,,245998224599935+367250+0,245998224599935+367704+0,1,
94,94,,,245998224599935+368977+0,245998224599935+367708+0,1,
94,94,,,245998224599935+368981+0,245998224599935+367727+0,1,
76,76,,,245998224599935+367269+1,245998224599935+367729+1,1,
76,76,,,245998224599935+367064+1,245998224599935+367817+1,1,
94,94,,,245998224599935+369051+0,245998224599935+367939+0,1,
74,74,,,245997924600005+367086+1,245998224599935+368008+1,1,
76,76,,,245997924600005+367086+1,245998224599935+368013+1,1,
74,74,,,245998224599935+367091+1,245998224599935+368014+1,1,
74,74,,,245997924600005+367315+1,245998224599935+368032+1,1,
94,94,,,245998224599935+369252+0,245998224599935+368044+0,1,
76,76,,,245997924600005+367315+1,245998224599935+368057+1,1,
76,76,,,245998224599935+367102+1,245998224599935+368106+1,1,
94,94,,,245998224599935+369256+0,245998224599935+368121+0,1,
76,76,,,245997924600005+367359+1,245998224599935+368123+0,1,
76,76,,,245997924600005+367364+0,245998224599935+368133+0,1,
76,76,,,245997924600005+367370+0,245998224599935+368147+0,1,
94,94,,,245998224599935+369261+0,245998224599935+368162+0,1,
94,94,,,245998224599935+369296+0,245998224599935+368203+0,1,
33,33,,,245998224599935+368359+0,245998224599935+368211+1,1,
33,33,,,245998224599935+368364+1,245998224599935+368222+1,1,
33,33,,,245998224599935+368369+1,245998224599935+368226+1,1,
33,33,,,245998224599935+368369+1,245998224599935+368228+1,1,
33,33,,,245998224599935+368373+1,245998224599935+368232+1,1,
33,33,,,245998224599935+368376+1,245998224599935+368244+1,1,
33,33,,,245998224599935+368384+1,245998224599935+368252+1,1,
33,33,,,245998224599935+368389+1,245998224599935+368256+1,1,
33,33,,,245998224599935+368392+1,245998224599935+368256+1,1,
33,33,,,245998224599935+368396+1,245998224599935+368258+1,1,
33,33,,,245998224599935+368400+1,245998224599935+368267+1,1,
33,33,,,245997924600005+368405+1,245998224599935+368271+1,1,
18,18,,,245998224599935+367112+0,245998224599935+368273+1,1,
33,33,,,245998224599935+368413+0,245998224599935+368274+0,1,
33,33,,,245998224599935+368418+0,245998224599935+368279+0,1,
33,33,,,245998224599935+368423+0,245998224599935+368283+0,1,
33,33,,,245998224599935+368428+0,245998224599935+368288+0,1,
20,20,,,245998224599935+367118+1,245998224599935+368294+1,1,
33,33,,,245997924600005+368431+0,245998224599935+368296+0,1,
18,18,,,245998224599935+367124+1,245998224599935+368299+1,1,
33,33,,,245998224599935+368438+0,245998224599935+368301+0,1,
18,18,,,245998224599935+367130+1,245998224599935+368305+1,1,
33,33,,,245998224599935+368442+0,245998224599935+368307+0,1,
33,33,,,245998224599935+368554+0,245998224599935+368310+0,1,
33,33,,,245998224599935+368621+0,245998224599935+368314+0,1,
18,18,,,245998224599935+367134+1,245998224599935+368316+1,1,
33,33,,,245998224599935+368674+0,245998224599935+368318+0,1,
33,33,,,245998224599935+368682+0,245998224599935+368319+0,1,
33,33,,,245998224599935+368723+0,245998224599935+368323+0,1,
18,18,,,245998224599935+367137+0,245998224599935+368325+0,1,
33,33,,,245998224599935+368834+0,245998224599935+368328+0,1,
33,33,,,245998224599935+368894+0,245998224599935+368349+0,1,
33,33,,,245998324600005+368209+0,245998224599935+368357+0,1,
33,33,,,245998224599935+368213+0,245998224599935+368361+1,1,
33,33,,,245998224599935+368217+1,245998224599935+368362+1,1,
33,33,,,245998224599935+368220+1,245998224599935+368366+1,1,
33,33,,,245998224599935+368224+1,245998224599935+368367+1,1,
33,33,,,245998224599935+368230+1,245998224599935+368371+1,1,
33,33,,,245998224599935+368236+0,245998224599935+368378+0,1,
